user_workdays_count;recs_paid;recs_shown;conversion;user_work_years
128.0;0.0;53;0.0;0.4
549.0;0.0;151;0.0;1.5
1705.0;0.0;177;0.0;4.7
178.0;0.0;3;0.0;0.5
991.0;1.0;74;0.014;2.7
676.0;0.0;119;0.0;1.9
91.0;0.0;50;0.0;0.2
249.0;0.0;2;0.0;0.7
1745.0;0.0;6;0.0;4.8
578.0;0.0;59;0.0;1.6
1747.0;0.0;4;0.0;4.8
372.0;0.0;27;0.0;1.0
1745.0;0.0;224;0.0;4.8
279.0;0.0;23;0.0;0.8
1746.0;0.0;117;0.0;4.8
154.0;0.0;11;0.0;0.4
1691.0;0.0;1;0.0;4.6
410.0;0.0;15;0.0;1.1
989.0;0.0;261;0.0;2.7
271.0;1.0;4;0.25;0.7
1087.0;0.0;48;0.0;3.0
179.0;0.0;19;0.0;0.5
1742.0;0.0;73;0.0;4.8
586.0;0.0;17;0.0;1.6
984.0;0.0;27;0.0;2.7
284.0;0.0;46;0.0;0.8
1746.0;0.0;3;0.0;4.8
90.0;0.0;138;0.0;0.2
1203.0;0.0;7;0.0;3.3
1747.0;0.0;7;0.0;4.8
377.0;0.0;135;0.0;1.0
180.0;0.0;68;0.0;0.5
611.0;0.0;6;0.0;1.7
1745.0;0.0;25;0.0;4.8
429.0;0.0;102;0.0;1.2
1202.0;0.0;5;0.0;3.3
223.0;0.0;144;0.0;0.6
1453.0;0.0;77;0.0;4.0
1747.0;0.0;4;0.0;4.8
1747.0;0.0;137;0.0;4.8
1662.0;0.0;148;0.0;4.6
116.0;0.0;11;0.0;0.3
1082.0;0.0;1;0.0;3.0
640.0;0.0;31;0.0;1.8
1042.0;0.0;30;0.0;2.9
1745.0;0.0;4;0.0;4.8
51.0;0.0;13;0.0;0.1
691.0;0.0;98;0.0;1.9
1547.0;0.0;6;0.0;4.2
111.0;0.0;116;0.0;0.3
892.0;0.0;17;0.0;2.4
453.0;0.0;18;0.0;1.2
412.0;0.0;3;0.0;1.1
1747.0;3.0;49;0.061;4.8
503.0;0.0;48;0.0;1.4
783.0;0.0;2;0.0;2.1
359.0;0.0;70;0.0;1.0
1216.0;0.0;6;0.0;3.3
243.0;0.0;7;0.0;0.7
1746.0;0.0;111;0.0;4.8
325.0;3.0;3;1.0;0.9
1215.0;0.0;35;0.0;3.3
46.0;0.0;31;0.0;0.1
377.0;0.0;6;0.0;1.0
1743.0;0.0;6;0.0;4.8
609.0;0.0;15;0.0;1.7
641.0;0.0;238;0.0;1.8
1107.0;0.0;4;0.0;3.0
1286.0;0.0;266;0.0;3.5
1017.0;1.0;57;0.018;2.8
1058.0;0.0;99;0.0;2.9
1746.0;0.0;11;0.0;4.8
777.0;0.0;32;0.0;2.1
52.0;0.0;12;0.0;0.1
1501.0;2.0;98;0.02;4.1
1747.0;0.0;55;0.0;4.8
90.0;0.0;17;0.0;0.2
161.0;0.0;6;0.0;0.4
1746.0;0.0;144;0.0;4.8
1746.0;0.0;68;0.0;4.8
1746.0;0.0;5;0.0;4.8
114.0;0.0;5;0.0;0.3
658.0;0.0;4;0.0;1.8
1741.0;0.0;286;0.0;4.8
843.0;0.0;86;0.0;2.3
745.0;0.0;82;0.0;2.0
504.0;0.0;28;0.0;1.4
1747.0;0.0;109;0.0;4.8
1356.0;0.0;223;0.0;3.7
947.0;0.0;1;0.0;2.6
