;fabric_width(m);slice_tuple;total_slice;waste;qty;total_qty;%_of_total;%_of_valuable;%_of_waste
384;2.3;1.0|1.2|;2.2;0.09999999999999964;84;1012;0.08300395256916997;0.9565217391304349;0.043478260869565064
352;2.3;0.5;0.5;1.7999999999999998;65;1012;0.06422924901185771;0.2173913043478261;0.782608695652174
345;2.3;0.5|0.6|;1.1;1.1999999999999997;44;1012;0.043478260869565216;0.47826086956521746;0.5217391304347825
366;2.3;0.6;0.6;1.6999999999999997;37;1012;0.036561264822134384;0.2608695652173913;0.7391304347826086
388;2.3;1.4;1.4;0.8999999999999999;35;1012;0.03458498023715415;0.6086956521739131;0.391304347826087
391;2.3;1.78;1.78;0.5199999999999998;35;1012;0.03458498023715415;0.773913043478261;0.22608695652173905
390;2.3;1.6;1.6;0.6999999999999997;32;1012;0.03162055335968379;0.6956521739130436;0.30434782608695643
387;2.3;1.2;1.2;1.0999999999999999;27;1012;0.0266798418972332;0.5217391304347826;0.47826086956521735
374;2.3;0.7;0.7;1.5999999999999999;26;1012;0.025691699604743084;0.30434782608695654;0.6956521739130435
325;2.3;0.4|0.5|;0.9;1.4;19;1012;0.018774703557312252;0.391304347826087;0.6086956521739131
334;2.3;0.4;0.4;1.9;19;1012;0.018774703557312252;0.1739130434782609;0.8260869565217391
356;2.3;0.65;0.65;1.65;17;1012;0.016798418972332016;0.28260869565217395;0.717391304347826
394;2.3;2.2;2.2;0.09999999999999964;17;1012;0.016798418972332016;0.9565217391304349;0.043478260869565064
363;2.3;0.6|0.8|;1.4;0.8999999999999999;16;1012;0.015810276679841896;0.6086956521739131;0.391304347826087
370;2.3;0.7|0.8|;1.5;0.7999999999999998;15;1012;0.014822134387351778;0.6521739130434783;0.3478260869565217
381;2.3;0.9;0.9;1.4;15;1012;0.014822134387351778;0.391304347826087;0.6086956521739131
338;2.3;0.55;0.55;1.7499999999999998;14;1012;0.01383399209486166;0.23913043478260873;0.7608695652173912
378;2.3;0.8;0.8;1.4999999999999998;13;1012;0.012845849802371542;0.3478260869565218;0.6521739130434782
333;2.3;0.4|0.9|;1.3;0.9999999999999998;11;1012;0.010869565217391304;0.5652173913043479;0.4347826086956521
318;2.3;0.45;0.45;1.8499999999999999;10;1012;0.009881422924901186;0.1956521739130435;0.8043478260869565
321;2.3;0.4|0.5|0.6|0.8|;2.3;0.0;10;1012;0.009881422924901186;1.0;0.0
376;2.3;0.8|1.0|;1.8;0.4999999999999998;10;1012;0.009881422924901186;0.782608695652174;0.217391304347826
329;2.3;0.4|0.6|;1.0;1.2999999999999998;9;1012;0.008893280632411068;0.4347826086956522;0.5652173913043478
349;2.3;0.5|0.9|;1.4;0.8999999999999999;8;1012;0.007905138339920948;0.6086956521739131;0.391304347826087
368;2.3;0.75;0.75;1.5499999999999998;8;1012;0.007905138339920948;0.32608695652173914;0.6739130434782609
298;2.3;0.35|0.6|;0.95;1.3499999999999999;6;1012;0.005928853754940711;0.41304347826086957;0.5869565217391304
348;2.3;0.5|0.8|;1.3;0.9999999999999998;6;1012;0.005928853754940711;0.5652173913043479;0.4347826086956521
393;2.3;2.0;2.0;0.2999999999999998;6;1012;0.005928853754940711;0.8695652173913044;0.1304347826086956
312;2.3;0.45|0.55|;1.0;1.2999999999999998;5;1012;0.004940711462450593;0.4347826086956522;0.5652173913043478
323;2.3;0.4|0.5|0.7;1.6;0.6999999999999997;5;1012;0.004940711462450593;0.6956521739130436;0.30434782608695643
344;2.3;0.5|0.6|1.2;2.3;0.0;5;1012;0.004940711462450593;1.0;0.0
377;2.3;0.8|1.2|;2.0;0.2999999999999998;5;1012;0.004940711462450593;0.8695652173913044;0.1304347826086956
379;2.3;0.9|1.0|;1.9;0.3999999999999999;5;1012;0.004940711462450593;0.8260869565217391;0.17391304347826084
380;2.3;0.9|1.2|;2.1;0.19999999999999973;5;1012;0.004940711462450593;0.9130434782608696;0.08695652173913032
297;2.3;0.35|0.65|;1.0;1.2999999999999998;4;1012;0.003952569169960474;0.4347826086956522;0.5652173913043478
331;2.3;0.4|0.7|;1.1;1.1999999999999997;4;1012;0.003952569169960474;0.47826086956521746;0.5217391304347825
341;2.3;0.5|0.5|;1.0;1.2999999999999998;4;1012;0.003952569169960474;0.4347826086956522;0.5652173913043478
360;2.3;0.6|0.7|0.8;2.0999999999999996;0.20000000000000018;4;1012;0.003952569169960474;0.9130434782608695;0.08695652173913052
386;2.3;1.1;1.1;1.1999999999999997;4;1012;0.003952569169960474;0.47826086956521746;0.5217391304347825
299;2.3;0.35|0.75|;1.1;1.1999999999999997;3;1012;0.0029644268774703555;0.47826086956521746;0.5217391304347825
302;2.3;0.35;0.35;1.9499999999999997;3;1012;0.0029644268774703555;0.15217391304347827;0.8478260869565217
308;2.3;0.3;0.3;1.9999999999999998;3;1012;0.0029644268774703555;0.13043478260869565;0.8695652173913043
336;2.3;0.55|0.65|;1.2000000000000002;1.0999999999999996;3;1012;0.0029644268774703555;0.5217391304347827;0.4782608695652173
350;2.3;0.5|1.0|;1.5;0.7999999999999998;3;1012;0.0029644268774703555;0.6521739130434783;0.3478260869565217
357;2.3;0.6|0.65|;1.25;1.0499999999999998;3;1012;0.0029644268774703555;0.5434782608695653;0.45652173913043476
362;2.3;0.6|0.8|0.9;2.3;0.0;3;1012;0.0029644268774703555;1.0;0.0
371;2.3;0.7|0.9|;1.6;0.6999999999999997;3;1012;0.0029644268774703555;0.6956521739130436;0.30434782608695643
372;2.3;0.7|1.0|;1.7;0.5999999999999999;3;1012;0.0029644268774703555;0.7391304347826088;0.26086956521739124
